iter	RMSE
145	41973.48108
146	41939.82459
147	41875.19395
148	41819.39482
149	41758.87261
150	41704.39005
151	41637.77888
152	41551.6371
153	41461.20419
154	41407.38097
155	41356.53175
156	41315.59542
157	41247.74923
158	41197.92524
159	41139.09088
160	41074.41659
161	41021.87093
162	40973.12453
163	40928.87755
164	40872.11468
165	40822.92613
166	40784.62482
167	40672.66821
168	40622.3192
169	40595.68322
170	40558.806
171	40524.1976
172	40431.62519
173	40359.41578
174	40303.31475
175	40245.02757
176	40189.97805
177	40156.29159
178	40101.66981
179	40046.40505
180	39988.93095
181	39941.05516
182	39903.74653
183	39850.90567
184	39809.23547
185	39763.93189
186	39713.03787
187	39681.23845
188	39623.43216
189	39586.50383
190	39507.17011
191	39465.67842
192	39422.5507
193	39374.69658
194	39339.39293
195	39303.3967
196	39263.00793
197	39192.2367
198	39137.77303
199	39106.3787
200	39065.83197
201	39033.89918
202	38999.69331
203	38978.93183
204	38920.02877
205	38841.93046
206	38808.22031
207	38766.90563
208	38710.40696
209	38659.14545
210	38609.65586
211	38573.81464
212	38531.06776
213	38481.57276
214	38429.29477
215	38389.19903
216	38359.85166
217	38315.54443
218	38271.55509
219	38231.65136
220	38185.87052
221	38148.29561
222	38101.72956
223	38088.08552
224	38051.72796
225	38027.81258
226	37975.99291
227	37939.33908
228	37888.75741
229	37852.0567
230	37824.07178
231	37784.92294
232	37763.25323
233	37733.14601
234	37691.71863
235	37653.24284
236	37616.48928
237	37577.27635
238	37534.13743
239	37507.72843
240	37472.26237
241	37425.54299
242	37393.13155
243	37367.18186
244	37324.29883
245	37290.16397
246	37262.52123
247	37239.83377
248	37203.96447
249	37156.72903
250	37133.86686
251	37091.73748
252	37041.97193
253	37014.06434
254	36967.00474
255	36927.49064
256	36903.79135
257	36872.68686
258	36826.68467
259	36795.49716
260	36767.84627
261	36712.1156
262	36682.67404
263	36665.01294
264	36609.25325
265	36578.0226
266	36544.99218
267	36503.70405
268	36471.01976
269	36446.92402
270	36421.07565
271	36397.11053
272	36356.48288
273	36332.47075
274	36317.13695
275	36281.99362
276	36221.09798
277	36195.93494
278	36154.84388
279	36129.06424
280	36092.78155
281	36068.80354
282	36025.6207
283	35990.01613
284	35971.3592
285	35946.22281
286	35927.78097
287	35902.39811
288	35872.3057
289	35846.27269
290	35817.69608
291	35777.79341
292	35743.56622
293	35706.28393
294	35686.2879
295	35648.33527
296	35630.43246
297	35584.45172
298	35551.33425
299	35501.42423
300	35467.37296
301	35447.47613
302	35421.67777
303	35365.79927
304	35317.99103
305	35288.62353
306	35260.88533
307	35231.64598
308	35197.00248
309	35167.09236
310	35130.4732
311	35098.62437
312	35070.94229
313	35042.72927
314	35013.20618
315	34982.65944
316	34955.03544
317	34932.7758
318	34913.46891
319	34896.10537
320	34882.47252
321	34862.74225
322	34827.39156
323	34807.05273
324	34782.99556
325	34743.17765
326	34717.5389
327	34699.35145
328	34659.36749
329	34609.37372
330	34584.59639
331	34569.66074
332	34554.73212
333	34518.12722
334	34464.6535
335	34445.17476
336	34416.88524
337	34390.08269
338	34357.50855
339	34323.37119
340	34271.25549
341	34224.33455
342	34179.99334
343	34144.12758
344	34113.56897
345	34074.08852
346	34045.99867
347	34028.8327
348	33994.92423
349	33978.50246
350	33954.97749
351	33945.50796
352	33925.0517
353	33902.36887
354	33877.6539
355	33849.12137
356	33834.09159
357	33815.44416
358	33788.86433
359	33764.83413
360	33736.13485
361	33719.8906
362	33695.80036
363	33671.47452
364	33648.71532
365	33633.18248
366	33613.27393
367	33600.94105
368	33562.03981
369	33542.32106
370	33524.61077
371	33499.6305
372	33482.03529
373	33457.37481
374	33428.93349
375	33399.43278
376	33371.70882
377	33355.68352
378	33334.60915
379	33307.03187
380	33286.01432
381	33259.80919
382	33230.10701
383	33205.64
384	33184.82497
385	33164.22101
386	33141.67645
387	33120.24422
388	33101.68254
389	33079.01027
390	33051.77265
391	33031.76697
392	33002.14703
393	32981.90682
394	32972.14244
395	32952.71701
396	32929.59531
397	32917.43001
398	32889.76681
399	32874.65233
400	32845.50946
401	32813.46672
402	32788.91565
403	32759.95571
404	32739.95152
405	32699.21724
406	32684.32918
407	32659.4542
408	32628.18697
409	32598.03772
410	32580.12477
411	32556.97997
412	32528.46727
413	32485.86178
414	32469.65014
415	32461.61909
416	32437.53378
417	32419.8492
418	32391.07406
419	32356.83426
420	32329.59661
421	32292.93716
422	32277.12098
423	32241.01778
424	32221.01282
425	32193.94394
426	32177.7059
427	32157.79122
428	32128.87533
429	32105.69248
430	32075.98386
431	32038.00039
432	32002.47815
433	31985.7888
434	31965.07029
435	31942.76471
436	31928.92552
437	31906.45926
438	31889.72936
439	31873.00999
440	31851.75824
441	31829.64412
442	31806.39437
443	31774.79491
444	31733.75416
445	31706.81848
446	31691.06741
447	31680.06187
448	31665.83453
449	31648.61488
450	31629.86876
451	31596.88554
452	31579.79484
453	31558.24521
454	31536.52048
455	31506.72411
456	31484.3539
457	31450.28743
458	31422.37794
459	31405.92701
460	31375.84324
461	31359.98109
462	31347.95888
463	31326.15427
464	31278.01542
465	31262.35339
466	31246.54738
467	31233.20983
468	31219.0888
469	31204.26871
470	31192.56701
471	31159.08857
472	31139.83051
473	31122.56396
474	31108.20596
475	31082.10586
476	31070.02931
477	31049.61659
478	31030.98721
479	31014.87499
480	30986.73192
481	30973.92692
482	30954.37253
483	30937.32513
484	30892.18309
485	30874.22999
486	30851.21191
487	30833.83515
488	30804.12621
489	30790.40508
490	30767.28652
491	30742.95378
492	30720.91427
493	30706.52118
494	30696.09294
495	30666.8805
496	30651.53253
497	30625.11179
498	30598.28988
499	30581.81593
500	30568.79687
501	30552.88365
502	30534.43952
503	30514.69872
504	30496.56089
505	30475.7627
506	30462.14353
507	30444.2678
508	30417.77339
509	30387.67849
510	30344.81381
511	30325.24939
512	30314.05388
513	30290.77957
514	30266.26644
515	30247.3445
516	30224.89114
517	30204.3402
518	30184.58148
519	30162.06361
520	30145.41796
521	30119.96797
522	30096.02834
523	30072.21786
524	30042.74514
525	30021.64866
526	30001.0699
527	29972.04371
528	29938.22658
529	29921.58817
530	29902.33753
531	29888.46029
532	29874.16578
533	29862.30718
534	29844.42641
535	29812.2056
536	29780.62115
537	29768.03523
538	29756.95031
539	29735.07714
540	29721.90283
541	29707.37461
542	29688.05675
543	29666.83003
544	29656.1302
545	29640.04433
546	29622.08175
547	29611.33212
548	29581.57917
549	29565.17843
550	29535.61834
551	29530.34876
552	29505.41568
553	29480.085
554	29449.54494
555	29434.05324
556	29423.38751
557	29406.92305
558	29380.32938
559	29370.00305
560	29358.79878
561	29344.11583
562	29329.70727
563	29317.2244
564	29298.85434
565	29287.13293
566	29272.3197
567	29259.64173
568	29240.9115
569	29225.27815
570	29203.82601
571	29181.64918
572	29168.63729
573	29147.40395
574	29126.20655
575	29113.93468
576	29097.93511
577	29084.28395
578	29073.49842
579	29055.22935
580	29044.06607
581	29024.30125
582	29006.28099
583	28994.60272
584	28981.98567
585	28972.91161
586	28959.12363
587	28939.33434
588	28922.85723
589	28897.66714
590	28884.47949
591	28865.55995
592	28851.63491
593	28822.14743
594	28809.74655
595	28795.67892
596	28767.22973
597	28741.73436
598	28728.96026
599	28713.66715
600	28696.5339
601	28675.75137
602	28652.40353
603	28633.13254
604	28617.7324
605	28592.15691
606	28579.50649
607	28563.96293
608	28553.00988
609	28520.37975
610	28502.10207
611	28492.38006
